VesselID,PreferredName,VocabID,VocabName,Edist,Modified
sq,centerBoard,R2RE/9095,Acoustic Centerboard,Yes,1/24/14
sq,hydrophoneArray,R2RE/9096,Soundguard Hydrophone Array,Yes,1/24/14
sq,Gravimeter,R2RE/9041,Bell Aerospace BGM-3 gravity meter,Yes,1/24/14
sq,XBT,R2RE/1031,XBT,Yes,1/24/14
sq,PCO2,R2RE/9027,PC02,Yes,1/24/14
sq,LDS,R2RE/9097,LDS Logger ,Yes,1/24/14
sq,CNAV,R2RE/9098,CNAV GPS,Yes,1/24/14
sq,seapath,R2RE/9099,Seapath 320,Yes,1/24/14
sq,MOCNESS1,R2RE/1017,MOCNESS1,Yes,1/24/14
sq,Multicorer,R2RE/9100,MC800 multicorer,Yes,1/24/14
sq,winchCTD,R2RE/9101,CTD  Hydrographic Winch,Yes,1/24/14
sq,winchHydro,R2RE/9102,Hydrographic Winch,Yes,1/24/14
sq,winchTrawl 680,R2RE/9103,Trawl Winch with 680 cable,Yes,1/24/14
sq,winchTrawl 9/16,R2RE/9104,Trawl Winch with 9/16 cable,Yes,1/24/14
ti,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
ti,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
ti,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
tn,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
tn,Thermosalinograph SBE45,L22/TOOL0190,Sea-Bird SBE45 MicroTSG thermosalinograph,Yes,1/24/14
tn,ADCP75,R2RE/1003,Generic ADCP75,Yes,1/24/14
tn,MeteorologicalSensor,R2RE/1015,Generic Meteorological Sensor,Yes,1/24/14
tn,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
tn,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
tn,Multibeam,R2RE/1029,Kongsberg (Simrad) EM 302 multibeam echosounder,Yes,1/24/14
tn,XBT,R2RE/1031,Generic XBT,Yes,1/24/14
tn,Fluorometer,R2RE/9018,fluorometer r2r_devtype,Yes,1/24/14
tn,Echosounder12,R2RE/9038,generic 12kHz echosounder,Yes,1/24/14
tn,Echosounder3.5,R2RE/9039,generic 3.5kHz echosounder,Yes,1/24/14
w,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
w,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
w,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
wh,ADCP75,R2RE/1003,Generic ADCP75,Yes,1/24/14
wh,CTD911,L221/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
wh,Echosounder12, R2RE/9038,Generic 12Khz echosounder,Yes,1/24/14
wh,Echosounder3.5,R2RE/9039,Generic 3.5Khz echosounder,Yes,1/24/14
wh,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
wh,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
wh,Thermosalinograph SBE45,L221/TOOL0190,Sea-Bird SBE45 MicroTSG thermosalinograph,Yes,1/24/14
wh,XBT,R2RE/1031,Generic XBT,Yes,1/24/14
wh,MeteorologicalSensor,R2RE/1015,Generic Meterological Sensor,Yes,1/24/14
wh,EM122,R2RE/1008,Kongsberg (Simrad) EM 122 multibeam echosounder,Yes,1/24/14
wh,Fluorometer,R2RE/9018,fluorometer r2r_devtype,Yes,1/24/14
ws,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
ws,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
ws,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
