CruiseId,"PersonId","FullName","ShortName","InstitutionId","ItemStatus"
OC1206A,"990003","Adam Bartlett","aBartlett","Dalhousie University, Canada"
OC1209A,"103741","Koczynski, Ted","tKoczynski","LDEO"
OC1209A,"100137","Toomey, Douglas","dToomey","Oregon"
OC1209A,"990000", "McGuire, Jeff", "jMcGuire", "WHOI"
OC1209A,"990001","Ding, Min","MDing","WHOI"
OC1209A,"100138","Trehu, Anne","aTrehu","OSU"
OC1209A,"990002","Heath, Ben","bHeath","UofO"
OC1209A,"990003","Mark-Moser, MacKenzie","MMM","OSU"
OC1209A,"990004","Boysen, Angie","aBoysen","Stanford"
OC1209A,"103636","Barclay, Andrew","aBarclay","LDEO"
OC1209A,"103698","Gassier, David","dGassier","LDEO"
OC1209A,"990005","Kapoor, Geetika","gKapoor","LDEO"
OC1209A,"990006","Oletu, Vincent","vOletu","LDEO"
OC1308A,"103721","Hooft, Emilie","eHooft","Oregon","0"
OC1308A,"105405","Vanderbeek, Brandon","bVanderbeek","Oregon","0"
OC1308A,"104974","Anthony, Robert","rAnthony","NMT","0"
OC1308A,"100966","Georgief, Paul","pGeorgief","SIO","0"
OC1308A,"100968","Gibaud, Mark","mGibaud","SIO","0"
OC1308A,"104975","Arnesen, Erik","eArnesen","OSU","0"
OC1308A,"990000","Brooklyn Gose","bGose","Oregon","2"
OC1308A,"103802","Rapa, Martin","mRapa","SIO","0"
OC1308A,"990001","Shannon Phillips","sPhillips","Oregon","2"
OC1308A,"990002","Tim Melbourne","tMelbourne","CWU","2"
OC1308A,"990003","Kasey Aderhold","kAderhold","BU","2"
PS1306,"100138","Trehu, Anne","aTrehu","OSU"
PS1306,"990000","Bridget Hass","bHass","OSU"
PS1306,"990001","Javier Ruiz","jRuiz","University of Chile, Santiago"
PS1306,"990002","Sebastian Obando","sObando","University of Chile, Santiago"
PS1306,"103636","Barclay, Andrew","aBarclay","LDEO"
PS1306,"103741","Koczynski, Ted","tKoczynski","LDEO"
PS1306,"103698","Gassier, David","dGassier","LDEO"
PS1306,"990003","Stian Alesandrini","sAlesandrini","MLML"
RR1301,"100163","Ferrini, Vicki","vFerrini","LDEO"
RR1301,"990000","Johnson, Paul","pJohnson","UNH"
RR1301,"990001","Beaudoin, Jonathan","jBeaudoin","UNH"
RR1301,"990002","Flinders, Ashton","aFlinders","UNH"
RR1301,"990003", "Jerram, Kevin", "kJerram", "UNH"
RR1301,"990004","Mininberg, Emily","eMininberg","Colby"
al130801,"990000","Tim Thiel","tThiel","Thiel Engineering","2"
al130801,"990001","Marc Elliott-Smith","mElliott-Smith","MY Alucia","2"
al130801,"990002","Laura Stolp","lStolp","WHOI","2"
at25,"104094","Stolp, Laura","lStolp","WHOI"
at25,"990000", "Heater, Allison", "aHeater", "WHOI"
at26-01,"990000","Arianna Johns","Johns","MATE Intern - SSSG"
at26-01,"PersonId","Allison Heater","Heater","SSSG - Woods Hole"
at26-01,"990001","Arianna Johns","Johns","MATE Intern"
at26-04,"990000","Paul Johnson","PJohnson","UW","2"
at26-04,"990001","Allison Heater","aheater","WHOI","2"
at26-04,"990002","Catie Graver","cgraver","WHOI","2"
at26-04,"990003","Arianna Johns","ajohns","MATE","2"
at26-04,"990004","Evan Solomon","esolomon","UW","2"
at26-04,"990005","Tor Bjorklund","TBjorklund","UW","2"
at26-04,"990006","Marie Salmi","MSalmi","UW","2"
at26-04,"990007","Robert Harris","RHarris","OSU","2"
at26-04,"990008","Richard Carson","RCarson","TA&M","2"
at26-04,"990009","Peter Kalk","PKalk","OSU","2"
at26-04,"990010","Richard Berg","RBerg","UW","2"
at26-04,"990011","Casey Hearn","CHearn","UW","2"
at26-04,"990012","Kira Homola","KHomola","UW","2"
at26-04,"990013","Una Miller","UMiller","UW","2"
at26-04,"990014","Brendan Pratt","BPratt","UW","2"
at26-04,"990015","Alexander Mesher","AMesher","SU","2"
at26-04,"990016","Jonathan Yang","JYang","OSU","2"
at26-04,"990017","Daniel Culling","DCulling","UW","2"
at26-04,"990018","Adrian Rembold","ARembold","UW","2"
en524,"100164","Bernhard, Joan","jBernhard","WHOI"
en524,"990000","Wit, Jos","jWit","WHOI"
en524,"990001","Jeglinski, Marti","mJeglinski","WHOI"
en524,"990002","Roosen, Ellen","eRoosen","WHOI"
en524,"990003","Davis, Meghan","mDavis","UNCW/WHOI"
en524,"990004","King, Brianna","bKing","WHOI"
en524,"990005","Skorski, William","wSkorski","RPI/WHOI"
en524,"990006","McGee, Tessa","tMcGee","RPI/WHOI"
en524,"990007","Wilbourn, Elise","eWilbourn","RPI/WHOI"
en524,"990008","Tanaka, Steven","sTanaka","UNCW/WHOI"
en524,"990009","Fraass, Andrew","aFraass","UMass Amherst"
en527,"990000","Battles, Joy","jBattles","Georgia","2"
en527,"990001","Montoya, Joe","jMontoya","Georgia Tech","2"
en527,"990002","D'Souza, Nigel","nD'Souza","LDEO","2"
en527,"990003","Esch, Maggie","mEsch","Georgia","2"
en527,"990004","Fields, Lindsay","lFields","Georgia","2"
en527,"990005","Guerrero, Stella","sGuerrero","Georgia","2"
en527,"990006","Hafez, Mark","mHafez","LDEO","2"
en527,"990007","Lee-Patterson, Drake","dLee-Patterson","Georgia Tech","2"
en527,"990008","Magen, Cedric","cMagen","FSU","2"
en527,"990009","McIntyre, Sariha","sMcIntyre","Hawaii","2"
en527,"990010","Padilla, Cory","cPadilla","Georgia Tech","2"
en527,"990011","Peterson, Leigha","lPeterson","Georgia Tech","2"
en527,"990012","Sibert, Ryan","rSibert","CCU","2"
en527,"990013","Smith, Katie","kSmith","Georgia Tech","2"
en527,"990014","Sweet, Julia","jSweet","UCSB","2"
en527,"990015","Weber, Sarah","sWeber","Georgia Tech","2"
en527,"990016","Ziervogel, Kai","kZiervogel","UNC","2"
en527,"990017","Butler, Lynne","lButler","URI","2"
oc1307c,"990000","William Wilcock","William","UW","2"
oc1307c,"990001","Douglas Toomey","Doug","UO","2"
oc1307c,"990002","Arnesen, Erik","Erik","OSU","2"
oc1307c,"990003", "Miles Bodmer", "Miles", "UO", "3"
